,Sector industrial,Población ocupada por sexo: Hombre,Población ocupada por sexo: Mujer,Ingreso bruto medio en el empleo principal por sexo: Hombre,Ingreso bruto medio en el empleo principal por sexo: Mujer,brecha del ingreso,Data Period quarterly,Data Period year
32,Hoteles y restaurantes,54827,89192,416766.20331845956,246312.7221769971,59.10093482047164,2,2019
33,Intermediación financiera y de seguros,21388,24554,1017470.7121679706,818907.3788246016,80.48461435118057,2,2019
34,Actividades profesionales y administrativas de apoyo,114604,69104,509979.2479889025,468085.6716361345,91.78523900374871,2,2019
35,Administración pública,62666,39280,998898.8074063511,1008769.8891735512,100.9881963712451,2,2019
36,Enseñanza y salud,82318,135132,965868.1523316676,816735.4200952196,84.55972154414326,2,2019
37,Comunicación y otros servicios4/,104043,79744,611696.0239916769,323859.5830644739,52.94452969484734,2,2019
38,Hogares como empleadores,18632,139644,215353.09848828427,157737.94325858608,73.2461916572644,2,2019
39,"Agricultura, ganadería y pesca",213259,27485,324510.44563796883,237365.7564779576,73.14579843841705,3,2019
40,Industria manufacturera,143560,69418,399340.2415086388,294972.0785782883,73.86485205295979,3,2019
41,Construcción,149695,8309,375232.5399512738,654859.324272219,174.52093156879633,3,2019
42,Otros3/,21531,5228,732338.4587615895,674179.9014770382,92.05851384851486,3,2019
43,Comercio y reparación,203579,141050,432495.313608629,283048.18132709805,65.44537534185451,3,2019
44,Transporte y almacenamiento,110472,14244,370401.3830817197,335882.26393776195,90.68061818323665,3,2019
45,Hoteles y restaurantes,54720,87698,433765.2159328272,252501.52033551098,58.211564934384526,3,2019
46,Intermediación financiera y de seguros,23218,27090,755902.2861449458,778095.1441396674,102.93594270072973,3,2019
47,Actividades profesionales y administrativas de apoyo,136420,67969,461940.49884853454,499257.44924599095,108.07830239835548,3,2019
48,Administración pública,59026,37554,1063210.3538348007,1050352.1539326303,98.79062502958203,3,2019
49,Enseñanza y salud,96197,148682,899450.0345500784,834675.4272727903,92.7984207249834,3,2019
50,Comunicación y otros servicios4/,98051,65897,577530.7864897648,325189.4923772822,56.30686709426966,3,2019
51,Hogares como empleadores,11068,137408,244227.52344619296,144314.78020583632,59.09030160461462,3,2019
52,"Agricultura, ganadería y pesca",227489,34180,310244.66886829876,242043.1342443183,78.01685525402775,4,2019
53,Industria manufacturera,163229,63692,407019.94612135715,324369.62783115014,79.69379164883385,4,2019
54,Construcción,132480,2522,381934.1271663652,557505.9137407888,145.9691276810011,4,2019
55,Otros3/,24942,5631,679868.7816825167,748225.7699210338,110.05443845639589,4,2019
56,Comercio y reparación,206349,136950,415265.5073278252,323736.6417795212,77.95895302326473,4,2019
57,Transporte y almacenamiento,101489,13888,394201.3882965236,421664.2780124955,106.96671562590083,4,2019
58,Hoteles y restaurantes,51651,88953,439901.3732357115,253345.07030265333,57.59133426639792,4,2019
59,Intermediación financiera y de seguros,19425,21671,662590.3608638311,788699.8270107989,119.03279516209027,4,2019
60,Actividades profesionales y administrativas de apoyo,121753,60833,401983.8567072435,537502.9029117153,133.71255933373652,4,2019
61,Administración pública,57750,37037,935492.3223331454,1022833.96125477,109.33643567525941,4,2019
62,Enseñanza y salud,95288,151511,941372.6770176941,853152.1719706566,90.628525003878,4,2019
63,Comunicación y otros servicios4/,120618,75298,544322.7589899194,284419.64658526436,52.25202178080003,4,2019
64,Hogares como empleadores,17169,141738,262532.5628685691,148797.91033957613,56.67788738803742,4,2019
65,"Agricultura, ganadería y pesca",227512,42567,321454.74892144033,249810.26896923876,77.7124213617667,1,2020
66,Industria manufacturera,160200,67971,410014.76795829105,329421.44093574287,80.34379897488313,1,2020
67,Construcción,139113,6208,370351.95638274745,486825.29647491605,131.44936541709447,1,2020
68,Otros3/,25560,3626,799340.1557751391,750827.4682386466,93.93090823900263,1,2020
69,Comercio y reparación,219313,137600,414540.29300513177,294468.77311589196,71.0350183286638,1,2020
70,Transporte y almacenamiento,102679,10941,366180.7846973185,465012.72359098226,126.98993039062859,1,2020
71,Hoteles y restaurantes,50947,89891,422840.0186387308,275278.01999718527,65.10216816360027,1,2020
72,Intermediación financiera y de seguros,22913,24662,747406.3670908451,637433.7602416166,85.28610248835871,1,2020
73,Actividades profesionales y administrativas de apoyo,126585,70371,436505.99226230994,454457.0924494492,104.11245217828575,1,2020
74,Administración pública,57728,37218,906113.0038957307,1066407.175450543,117.69030693364355,1,2020
75,Enseñanza y salud,89861,149293,919849.8651118417,861131.9153487978,93.61657244403634,1,2020
76,Comunicación y otros servicios4/,119271,81047,474844.4850257108,277942.3564918621,58.5333441277754,1,2020
77,Hogares como empleadores,12740,124750,251923.70351398987,158856.6063202609,63.05742734980048,1,2020
78,"Agricultura, ganadería y pesca",207540,26061,297001.0357153986,271227.87913522933,91.32219976334815,2,2020
79,Industria manufacturera,144171,59592,437833.54295020935,419184.1002988583,95.740517611856,2,2020
80,Construcción,100133,4759,300306.04170134984,470277.5290668284,156.59942317594556,2,2020
81,Otros3/,26450,2545,734678.6110164743,521132.6983866557,70.93342457127419,2,2020
82,Comercio y reparación,185624,93788,349402.99119267095,286417.0801573376,81.97327652509962,2,2020
83,Transporte y almacenamiento,84099,11364,304477.93246904627,414615.9809437386,136.17275235074356,2,2020
84,Hoteles y restaurantes,33212,43976,329001.55047261936,210752.858435899,64.05831769885187,2,2020
85,Intermediación financiera y de seguros,18178,20684,635971.1749321524,752332.4475162236,118.2966268237684,2,2020
86,Actividades profesionales y administrativas de apoyo,101139,60465,433488.22786152066,439530.870258633,101.39395766914406,2,2020
87,Administración pública,53426,32557,931628.1433754732,1199656.89532863,128.76992863075557,2,2020
88,Enseñanza y salud,79396,136830,1110167.2242251383,877711.8037228724,79.06122470292594,2,2020
89,Comunicación y otros servicios4/,78803,45330,494793.76942049724,251739.94678300852,50.87775197287681,2,2020
90,Hogares como empleadores,12495,76121,220065.28593189956,149982.03056681957,68.15342543995438,2,2020
91,"Agricultura, ganadería y pesca",207208,29503,289258.0844338888,231454.84548489118,80.01672483515019,3,2020
92,Industria manufacturera,121576,54894,381438.87711265765,253051.12315769424,66.3411986405769,3,2020
93,Construcción,121077,2162,277166.249954024,466792.8111224144,168.41618025277086,3,2020
94,Otros3/,21520,4177,673803.0025835456,705738.5575263248,104.73959819417982,3,2020
95,Comercio y reparación,185523,102563,340413.9590282949,265516.2110640501,77.99803857102717,3,2020
96,Transporte y almacenamiento,89326,11044,241948.54985579435,397869.815389047,164.4439760544895,3,2020
97,Hoteles y restaurantes,41161,68807,252758.17924360276,154815.07380818998,61.25027260106294,3,2020
98,Intermediación financiera y de seguros,25261,15931,679075.1991721577,850720.5569647009,125.27634023474741,3,2020
99,Actividades profesionales y administrativas de apoyo,121517,65672,458704.80719749123,431794.2922235855,94.13336975072954,3,2020
100,Administración pública,45011,29250,956815.5299919436,1318664.0660214894,137.81800406527606,3,2020
101,Enseñanza y salud,82549,143297,801120.7456123196,872452.3259843552,108.90397368470528,3,2020
102,Comunicación y otros servicios4/,107416,53054,355869.9678295897,410698.8393805465,115.40699595567219,3,2020
103,Hogares como empleadores,9652,80218,273219.10281552037,156313.3080174294,57.21170533342003,3,2020
104,"Agricultura, ganadería y pesca",215167,33489,288909.84628424386,249434.96710988236,86.33660995564541,4,2020
105,Industria manufacturera,133189,64448,404402.11628781987,284437.41534034495,70.33529348246684,4,2020
106,Construcción,128894,6398,281504.7385659854,646771.6264893323,229.7551472078426,4,2020
107,Otros3/,23196,5180,767219.4354238195,973939.9861055176,126.9441233025469,4,2020
108,Comercio y reparación,198934,110448,355421.9268340712,274595.90906764346,77.25913578647572,4,2020
109,Transporte y almacenamiento,93508,13795,259298.63862648758,369452.92782123183,142.48163036190036,4,2020
110,Hoteles y restaurantes,41393,75234,325753.4934049827,155433.0230025835,47.714921297665505,4,2020
111,Intermediación financiera y de seguros,20864,19671,691887.4847449908,639245.2176153008,92.39149886500803,4,2020
112,Actividades profesionales y administrativas de apoyo,115419,57345,423379.57053687033,448603.8359171654,105.95783715976404,4,2020
113,Administración pública,57286,35248,939838.0682806422,1270412.065119076,135.1735057341519,4,2020
114,Enseñanza y salud,76341,144677,838608.910586144,830451.9502582531,99.027322483112,4,2020
115,Comunicación y otros servicios4/,93191,63371,435007.19380637567,217273.3252964239,49.94706487385898,4,2020
116,Hogares como empleadores,10050,103333,286785.3756504066,150355.51165998852,52.42788664484516,4,2020
117,"Agricultura, ganadería y pesca",229933,36378,329719.2909373346,237276.182772671,71.96308778237879,1,2021
118,Industria manufacturera,136297,66603,461723.67232181807,273217.82550226373,59.17344981000517,1,2021
119,Construcción,133064,2012,305355.6512021919,416212.7339572192,136.30425122920784,1,2021
120,Otros3/,22286,4534,835559.8370539718,956068.3088516395,114.42248256241685,1,2021
121,Comercio y reparación,208860,126175,401492.4308547233,245128.57606899954,61.054345544486054,1,2021
122,Transporte y almacenamiento,93199,11945,298871.2438313772,418040.69258049317,139.87317321714337,1,2021
123,Hoteles y restaurantes,40418,74944,320868.9956513797,202348.43410672012,63.062632055161,1,2021
124,Intermediación financiera y de seguros,19846,15884,862226.0412011801,679796.1123443488,78.84198340812284,1,2021
125,Actividades profesionales y administrativas de apoyo,121233,52351,428492.30707165267,465204.92476206936,108.56785923213263,1,2021
126,Administración pública,50513,27292,889886.9366636662,1142194.9449893534,128.35281628828398,1,2021
127,Enseñanza y salud,74072,132284,827854.3304729103,847795.3421463952,102.40875851456785,1,2021
128,Comunicación y otros servicios4/,105618,71433,453717.53865246405,295601.06043310073,65.15090011971601,1,2021
129,Hogares como empleadores,11878,104277,261259.23807281847,176626.11669890757,67.6056923390698,1,2021
130,"Agricultura, ganadería y pesca",197412,24059,312255.56865138665,277251.5088365716,88.78993256517553,2,2021
131,Industria manufacturera,130955,64863,491513.52165612567,321719.45402816986,65.45485319389694,2,2021
132,Construcción,132231,4619,304738.18840164575,582682.8193832599,191.2076797592832,2,2021
133,Otros3/,26027,2436,820607.3953060623,575464.1065613027,70.12660498223656,2,2021
134,Comercio y reparación,219730,109908,422765.4228761417,263384.86401283566,62.30047439097213,2,2021
135,Transporte y almacenamiento,91536,14451,321471.33755248744,1368010.2594481877,425.5465727873264,2,2021
136,Hoteles y restaurantes,50415,82157,320354.456040051,251983.62291465345,78.65775492230088,2,2021
137,Intermediación financiera y de seguros,32268,28972,876670.5468532605,746260.4954626256,85.12439457915731,2,2021
138,Actividades profesionales y administrativas de apoyo,113358,55036,399479.43621290673,512440.39283212204,128.27703916128777,2,2021
139,Administración pública,53543,30680,977358.8841897505,964607.4108801243,98.69531310188096,2,2021
140,Enseñanza y salud,61491,128221,882920.8028829761,857293.3676091068,97.09742536474519,2,2021
141,Comunicación y otros servicios4/,113321,71012,458001.22739937296,334999.9097172345,73.14388907196478,2,2021
142,Hogares como empleadores,14093,96942,223031.05844684513,164405.58987854316,73.71421317884561,2,2021
143,"Agricultura, ganadería y pesca",201247,25421,304612.7823863251,250438.32015477243,82.21530238910134,3,2021
144,Industria manufacturera,154231,58740,496238.0834350184,339649.9171682483,68.4449518298055,3,2021
145,Construcción,129528,2451,334167.140298566,439460.3298350824,131.5091392416504,3,2021
146,Otros3/,23800,2329,871682.3140550917,566664.9100587372,65.00819173703265,3,2021
147,Comercio y reparación,225360,130678,404501.9281053468,302157.22358833044,74.69858672951439,3,2021
148,Transporte y almacenamiento,91640,13628,330244.02205546753,870868.3219720498,263.70449237860225,3,2021
149,Hoteles y restaurantes,54520,76315,354714.76024267555,250615.88496254708,70.65279290635948,3,2021
150,Intermediación financiera y de seguros,24891,25380,929743.9621334734,819036.8550884639,88.09273181070506,3,2021
151,Actividades profesionales y administrativas de apoyo,121320,65593,425651.8861999207,516818.18858026783,121.4180426155866,3,2021
152,Administración pública,54170,30991,951837.2554615055,989042.4768343099,103.9087796951975,3,2021
153,Enseñanza y salud,72368,165313,934234.864452788,855814.0702136538,91.60588014609498,3,2021
154,Comunicación y otros servicios4/,109523,82272,508715.677467367,298436.25072660274,58.664645880850955,3,2021
155,Hogares como empleadores,20454,123451,250179.80268842084,178854.94194964782,71.49056000032006,3,2021
156,"Agricultura, ganadería y pesca",206695,31761,320283.940208723,239358.71506302466,74.73328662905767,4,2021
157,Industria manufacturera,162599,72672,454266.697479158,346177.3061171305,76.2057417015504,4,2021
158,Construcción,103551,7860,348999.37744341145,448793.26128041575,128.59428706378864,4,2021
159,Otros3/,27751,1964,993587.6799300348,544648.0709860828,54.81630680288176,4,2021
160,Comercio y reparación,233604,111620,412992.92156806076,285526.7964454139,69.13600246738355,4,2021
161,Transporte y almacenamiento,89877,14291,370805.5751747295,536899.9695457111,144.79285250571414,4,2021
162,Hoteles y restaurantes,48194,79833,392114.47917071043,264039.0140895606,67.33722627330192,4,2021
163,Intermediación financiera y de seguros,19430,20638,896760.8224513986,850947.883168374,94.89128671368697,4,2021
164,Actividades profesionales y administrativas de apoyo,137441,64477,416642.31025035644,454638.3173461472,109.11957479137425,4,2021
165,Administración pública,49535,26785,842419.0781307927,1196738.1323745046,142.05971391696104,4,2021
166,Enseñanza y salud,69401,156918,906157.087748117,854023.1924830987,94.24670446549442,4,2021
167,Comunicación y otros servicios4/,131806,99972,423802.8230403348,329220.10482828505,77.68237655107644,4,2021
168,Hogares como empleadores,15059,112904,294702.3881889764,185324.4840426415,62.88530105965858,4,2021
169,"Agricultura, ganadería y pesca",196677,27785,308727.54143824865,291711.77521726734,94.48841974327556,1,2022
170,Industria manufacturera,148546,79653,438592.39501571376,356395.2420403221,81.25887409141083,1,2022
171,Construcción,125575,2118,353950.97561465926,655833.7267862764,185.2894247988377,1,2022
172,Otros3/,21661,4292,712934.4660071465,618225.8874871064,86.71566840491468,1,2022
173,Comercio y reparación,229648,123828,386442.93154730444,312769.09613765887,80.93539061132311,1,2022
174,Transporte y almacenamiento,90496,20043,356628.3914394906,1309330.2937839848,367.14135083273084,1,2022
175,Hoteles y restaurantes,53637,84423,443561.82649857213,286624.80651937856,64.61890753358173,1,2022
176,Intermediación financiera y de seguros,20340,21105,1046241.4758906472,1011341.1584177495,96.66421965892839,1,2022
177,Actividades profesionales y administrativas de apoyo,134928,60398,389758.24583346903,585712.6609666225,150.2758869704269,1,2022
178,Administración pública,52307,32983,938403.7661161874,1175653.7498345608,125.2822923655017,1,2022
179,Enseñanza y salud,69613,157151,871282.4427555116,878207.5554008648,100.79481833967088,1,2022
180,Comunicación y otros servicios4/,120111,74103,455197.2121305311,334190.4105463534,73.4166206735295,1,2022
181,Hogares como empleadores,17919,121902,325663.2303351455,166681.8272182459,51.18226796642372,1,2022
