,Sector industrial,Población ocupada por sexo: Hombre,Población ocupada por sexo: Mujer,Ingreso bruto medio en el empleo principal por sexo: Hombre,Ingreso bruto medio en el empleo principal por sexo: Mujer,brecha del ingreso,Data Period quarterly,Data Period year
51,1.2 Sector secundario,289213,71918,441390.1245663375,342026.2566808139,77.48842523761766,2,2021
52,1.3 Sector comercio y servicios,749755,617379,502183.6384863081,487871.9953798767,97.15011760447436,2,2021
53,1.4 No especificado ,9240,10387,-,-,-,2,2021
54,3. Sector institucional,1245620,723743,458719.6998189089,470317.13224574475,102.5282176526132,2,2021
55,1.1 Sector primario,201247,25421,304612.7823863251,250438.32015477243,82.21530238910134,3,2021
56,1.2 Sector secundario,307559,63520,461325.68045420415,351648.11620187,76.22556712118222,3,2021
57,1.3 Sector comercio y servicios,774246,713621,510010.40145957726,489758.3218703987,96.02908498900807,3,2021
58,1.4 No especificado ,3786,4248,-,-,-,3,2021
59,3. Sector institucional,1286838,806810,469223.87065200566,472823.2139785063,100.76708444553326,3,2021
60,1.1 Sector primario,206695,31761,320283.940208723,239358.71506302466,74.73328662905767,4,2021
61,1.2 Sector secundario,293901,82496,468135.33932562196,359716.89995691547,76.84036425771872,4,2021
62,1.3 Sector comercio y servicios,794347,687438,493170.02780573774,482068.65447516704,97.74897647775474,4,2021
63,1.4 No especificado ,3789,3536,-,-,-,4,2021
64,3. Sector institucional,1298732,805231,463187.70964328747,461890.83234418754,99.72001042512576,4,2021
65,1.1 Sector primario,196677,27785,308727.54143824865,291711.77521726734,94.48841974327556,1,2022
66,1.2 Sector secundario,295782,86063,424575.2120727265,378654.04721320176,89.18420963971424,1,2022
67,1.3 Sector comercio y servicios,788999,695936,494982.36970259505,537396.9027939368,108.56889774010052,1,2022
68,1.4 No especificado ,8486,2348,-,-,-,1,2022
69,3. Sector institucional,1289944,812132,451508.03163302393,513693.0617215324,113.77274062292896,1,2022
